Date	Arkengarthdale	East Cowton	Malham Tarn	Snaizeholme	Crakehill	Skip Bridge	Westwick	Skelton	Skelton tommorow	Predictor_1	Skelton Tomorrow	Skelton - 1	Average Rainfall	Average River flow	Average Rainfall -1 day	Skelton + average Rain
1993-02-01	0.2	1.8	3.2	3.8	25.5	13.982	30.902	56.13	50.29	70.385	50.29	64.14	2.25	31.628500000000003	3.3339999999999996	58.38
1993-02-02	0.0	1.8	2.2	2.8	21.625	11.812	24.746	50.29	43.38	58.183	43.38	56.13	1.7	27.118249999999996	2.25	51.99
1993-02-03	0.0	1.8	2.2	2.2	19.4	9.612	21.12	43.38	40.47	50.132	40.47	50.29	1.55	23.378	1.7	44.93
1993-02-04	0.0	0.0	0.6	1.2	17.825	8.434	18.406	40.47	37.36	44.665	37.36	43.38	0.44999999999999996	21.283749999999998	1.55	40.92
1993-02-05	1.2	2.4	0.4	0.6	16.5	7.332	16.591	37.36	37.74	40.422	37.74	40.47	1.15	19.44575	0.44999999999999996	38.51
1993-02-06	1.4	4.2	1.4	1.0	15.775	6.59	15.559	37.74	38.31	37.924	38.31	37.36	2.0	18.916	1.15	39.74
1993-02-07	1.4	4.2	1.8	1.0	15.5	6.576	14.788	38.31	36.22	36.864	36.22	37.74	2.0999999999999996	18.7935	2.0	40.410000000000004
1993-02-08	1.8	4.2	1.6	1.0	15.275	6.3	14.15	36.22	35.92	35.725	35.92	38.31	2.15	17.98625	2.0999999999999996	38.37
1993-02-09	0.8	1.8	1.6	0.4	15.2	6.358	13.832	35.92	36.61	35.391	36.61	36.22	1.1500000000000001	17.8275	2.15	37.07
1993-02-10	0.6	0.0	0.4	0.2	15.0	6.35	13.483	36.61	35.6	34.832	35.6	35.92	0.3	17.86075	1.1500000000000001	36.91
1993-02-11	0.6	0.0	0.0	0.2	14.65	6.353	13.212	35.6	33.17	34.215	33.17	36.61	0.2	17.45375	0.3	35.800000000000004
1993-02-12	0.2	0.0	0.0	0.2	14.275	6.302	12.942	33.17	30.73	33.52	30.73	35.6	0.1	16.67225	0.2	33.27
1993-02-13	0.0	0.0	0.0	0.2	13.77	6.059	12.367	30.73	29.24	32.196	29.24	33.17	0.05	15.7315	0.1	30.78
1993-02-14	0.0	0.0	0.0	0.0	13.07	5.726	11.596	29.24	27.48	30.393	27.48	30.73	0.0	14.908	0.05	29.24
1993-02-15	0.0	0.0	7.2	0.0	12.32	5.415	10.82	27.48	26.18	28.555	26.18	29.24	1.8	14.00875	0.0	29.28
1993-02-16	0.0	0.0	7.4	0.0	11.67	5.18	10.22	26.18	25.14	27.069	25.14	27.48	1.85	13.3125	1.8	28.03
1993-02-17	0.0	0.0	9.4	0.0	11.125	4.98	9.699	25.14	24.24	25.804	24.24	26.18	2.35	12.736	1.85	27.490000000000002
1993-02-18	0.4	0.0	19.0	4.4	10.725	4.804	9.302	24.24	23.59	24.83	23.59	25.14	5.949999999999999	12.26775	2.35	30.189999999999998
1993-02-19	0.4	0.0	12.4	4.4	10.335	4.622	8.961	23.59	22.7	23.918	22.7	24.24	4.300000000000001	11.876999999999999	5.949999999999999	27.89
1993-02-20	0.4	0.0	13.8	4.6	10.0	4.428	8.772	22.7	21.52	23.2	21.52	23.59	4.7	11.475000000000001	4.300000000000001	27.4
1993-02-21	0.4	0.0	11.8	4.6	9.618	4.245	8.532	21.52	20.43	22.395	20.43	22.7	4.2	10.97875	4.7	25.72
1993-02-22	0.4	0.0	2.4	0.6	9.172	4.047	8.252	20.43	20.35	21.472	20.35	21.52	0.85	10.47525	4.2	21.28
1993-02-23	0.4	0.0	2.2	0.6	8.89	3.857	7.988	20.35	20.12	20.735	20.12	20.43	0.8	10.27125	0.85	21.150000000000002
1993-02-24	0.4	0.0	0.6	0.4	8.65	3.722	7.625	20.12	19.47	19.998	19.47	20.35	0.35	10.029250000000001	0.8	20.470000000000002
1993-02-25	0.8	0.2	3.6	1.4	8.552	3.523	7.392	19.47	20.01	19.467	20.01	20.12	1.5	9.73425	0.35	20.97
1993-02-26	1.41	0.4	4.6	3.0	8.642	3.398	7.502	20.01	21.74	19.543	21.74	19.47	2.3525	9.888	1.5	22.3625
1993-02-27	2.81	0.6	6.8	4.0	8.828	3.276	7.846	21.74	20.26	19.95	20.26	20.01	3.5525	10.4225	2.3525	25.292499999999997
1993-02-28	4.21	0.748	7.0	4.0	8.85	3.13	7.989	20.26	20.76	19.97	20.76	21.74	3.9895	10.05725	3.5525	24.2495
1993-03-01	4.71	0.6	4.4	5.8	8.965	3.184	8.121	20.76	23.62	20.27	23.62	20.26	3.8775000000000004	10.2575	3.9895	24.637500000000003
1993-03-02	4.1	0.4	3.4	6.2	9.62	3.214	7.964	23.62	26.09	20.798	26.09	20.76	3.5250000000000004	11.104500000000002	3.8775000000000004	27.145000000000003
1993-03-03	3.1	0.2	1.0	5.8	10.382	3.377	7.646	26.09	24.17	21.406	24.17	23.62	2.5250000000000004	11.873750000000001	3.5250000000000004	28.615000000000002
1993-03-04	2.1	0.052	0.8	6.0	10.96	3.539	7.578	24.17	23.07	22.077	23.07	26.09	2.238	11.56175	2.5250000000000004	26.408
1993-03-05	1.2	0.0	1.0	3.4	11.525	3.624	8.172	23.07	41.84	23.32	41.84	24.17	1.4	11.597750000000001	2.238	24.47
1993-03-06	0.8	0.0	0.8	1.0	14.1	3.775	11.032	41.84	36.05	28.907	36.05	23.07	0.65	17.68675	1.4	42.49
1993-03-07	0.4	0.0	0.6	0.4	14.875	3.653	12.422	36.05	28.01	30.95	28.01	41.84	0.35	16.75	0.65	36.4
1993-03-08	0.0	0.0	0.6	0.2	15.1	3.513	13.124	28.01	24.2	31.737	24.2	36.05	0.2	14.93675	0.35	28.21
1993-03-09	0.0	0.0	0.0	0.0	14.925	3.315	12.926	24.2	22.0	31.166	22.0	28.01	0.0	13.8415	0.2	24.2
1993-03-10	0.0	0.0	0.8	1.0	11.87	3.011	10.254	22.0	20.62	25.135	20.62	24.2	0.45	11.78375	0.0	22.45
1993-03-11	0.0	0.2	2.2	1.4	10.218	2.904	8.921	20.62	20.02	22.043	20.02	22.0	0.9500000000000001	10.66575	0.45	21.57
1993-03-12	0.4	0.2	4.2	5.2	9.525	2.843	8.272	20.02	20.56	20.64	20.56	20.62	2.5	10.165	0.9500000000000001	22.52
1993-03-13	0.6	0.2	10.0	6.8	9.138	2.803	7.911	20.56	17.97	19.851	17.97	20.02	4.4	10.102999999999998	2.5	24.96
1993-03-14	0.6	0.2	14.655	5.8	8.995	2.766	7.863	17.97	18.06	19.624	18.06	20.56	5.31375	9.398499999999999	4.4	23.283749999999998
1993-03-15	3.4	0.0	17.787	10.2	9.013	2.685	7.701	18.06	17.16	19.399	17.16	17.97	7.846749999999999	9.36475	5.31375	25.90675
1993-03-16	3.2	0.0	18.987	8.4	9.034	2.607	7.563	17.16	20.06	19.205	20.06	18.06	7.646749999999999	9.091000000000001	7.846749999999999	24.80675
1993-03-17	3.0	0.0	13.387	8.0	9.092	2.56	8.092	20.06	22.36	19.744	22.36	17.16	6.09675	9.951	7.646749999999999	26.15675
1993-03-18	4.4	0.0	9.532	10.2	9.162	2.53	9.225	22.36	25.27	20.916	25.27	20.06	6.0329999999999995	10.81925	6.09675	28.393
1993-03-19	1.6	0.0	7.6	5.4	9.571	2.492	10.33	25.27	20.08	22.393	20.08	22.36	3.65	11.91575	6.0329999999999995	28.919999999999998
1993-03-20	1.4	0.0	4.4	4.6	9.35	2.479	10.673	20.08	18.08	22.502	18.08	25.27	2.6	10.6455	3.65	22.68
1993-03-21	3.0	0.0	4.2	4.698	8.992	2.459	10.339	18.08	21.39	21.79	21.39	20.08	2.9745	9.9675	2.6	21.054499999999997
1993-03-22	2.0	0.0	3.0	3.898	9.098	2.446	9.839	21.39	18.6	21.382	18.6	18.08	2.2245	10.69325	2.9745	23.6145
1993-03-23	4.8	0.2	3.0	7.298	8.39	2.445	9.041	18.6	17.51	19.876	17.51	21.39	3.8245	9.619	2.2245	22.424500000000002
1993-03-24	4.8	0.2	3.4	7.298	8.352	2.416	9.078	17.51	17.68	19.847	17.68	18.6	3.9245	9.339	3.8245	21.4345
1993-03-25	3.2	0.2	3.4	6.0	8.382	2.362	9.041	17.68	16.52	19.786	16.52	17.51	3.2	9.36625	3.9245	20.88
1993-03-26	2.8	0.2	3.2	4.6	7.762	2.303	8.268	16.52	15.18	18.333	15.18	17.68	2.7	8.713249999999999	3.2	19.22
1993-03-27	0.0	0.0	0.6	1.2	7.482	2.266	7.882	15.18	14.32	17.631	14.32	16.52	0.44999999999999996	8.2025	2.7	15.629999999999999
1993-03-28	0.0	0.0	0.4	1.2	7.09	2.246	7.326	14.32	13.93	16.663	13.93	15.18	0.4	7.7455	0.44999999999999996	14.72
1993-03-29	0.6	0.0	2.4	5.4	6.715	2.239	6.821	13.93	13.99	15.775	13.99	14.32	2.1	7.42625	0.4	16.03
1993-03-30	3.6	2.5	2.6	9.503	6.528	2.266	6.514	13.99	15.32	15.308	15.32	13.93	4.55075	7.3245000000000005	2.1	18.54075
1993-03-31	5.0	4.3	6.0	13.303	6.667	2.32	6.798	15.32	17.46	15.786	17.46	13.99	7.15075	7.77625	4.55075	22.470750000000002
1993-04-01	5.2	6.9	6.4	13.103	6.938	2.444	7.182	17.46	16.61	16.564	16.61	15.32	7.90075	8.506	7.15075	25.360750000000003
1993-04-02	4.6	7.3	7.8	14.603	7.168	2.531	7.412	16.61	15.23	17.11	15.23	17.46	8.57575	8.430250000000001	7.90075	25.18575
1993-04-03	1.6	5.2	9.6	11.9	7.325	2.578	7.534	15.23	20.33	17.437	20.33	16.61	7.074999999999999	8.16675	8.57575	22.305
1993-04-04	0.2	3.8	7.2	9.552	7.76	2.988	7.885	20.33	44.18	18.633	44.18	15.23	5.188	9.740749999999998	7.074999999999999	25.517999999999997
1993-04-05	0.156	1.4	9.8	10.1	10.338	4.041	17.336	44.18	42.575	31.714	42.575	20.33	5.364	18.97375	5.188	49.544
1993-04-06	0.6	1.0	11.8	6.0	13.875	5.214	25.191	42.575	39.595	44.28	39.595	44.18	4.85	21.71375	5.364	47.425000000000004
1993-04-07	1.2	0.6	9.6	5.4	17.822	5.622	30.142	39.595	37.99	53.586	37.99	42.575	4.199999999999999	23.29525	4.85	43.795
1993-04-08	1.716	2.0	8.621	3.948	19.085	5.484	31.94	37.99	92.73	56.509	92.73	39.595	4.07125	23.62475	4.199999999999999	42.06125
1993-04-09	1.904	2.8	5.508	2.6	25.935	4.797	28.346	92.73	87.787	59.077	87.787	37.99	3.203	37.952	4.07125	95.933
1993-04-10	1.659	3.0	0.308	1.0	29.689	4.463	30.268	87.787	77.64	64.421	77.64	92.73	1.49175	38.05175	3.203	89.27875
1993-04-11	1.168	5.0	1.108	1.2	30.339	5.522	30.024	77.64	62.7	65.885	62.7	87.787	2.1189999999999998	35.881249999999994	1.49175	79.759
1993-04-12	0.684	4.8	4.887	3.0	32.464	8.033	32.219	62.7	72.0	72.717	72.0	77.64	3.3427499999999997	33.854	2.1189999999999998	66.04275
1993-04-13	0.341	3.8	4.8	8.2	29.414	9.979	30.297	72.0	52.73	69.69	52.73	62.7	4.28525	35.4225	3.3427499999999997	76.28525
1993-04-14	0.141	3.6	4.6	12.4	25.2	10.339	23.07	52.73	38.61	58.609	38.61	72.0	5.18525	27.83475	4.28525	57.91525
1993-04-15	0.032	1.6	4.0	14.4	22.575	9.681	20.159	38.61	32.41	52.416	32.41	52.73	5.008	22.75625	5.18525	43.618
1993-04-16	0.0	1.0	1.104	18.1	20.275	7.56	16.778	32.41	29.05	44.613	29.05	38.61	5.051	19.25575	5.008	37.461
1993-04-17	0.0	1.0	2.904	15.65	15.0	5.722	13.605	29.05	34.01	34.326	34.01	32.41	4.8885000000000005	15.844249999999999	5.051	33.938500000000005
1993-04-18	0.529	3.2	5.404	11.85	13.075	5.082	16.3	34.01	66.89	34.456	66.89	29.05	5.245749999999999	17.11675	4.8885000000000005	39.25575
1993-04-19	1.729	4.2	8.204	13.35	15.725	5.109	21.942	66.89	52.91	42.776	52.91	34.01	6.87075	27.4165	5.245749999999999	73.76075
1993-04-20	3.129	3.6	10.5	11.65	17.025	5.111	23.913	52.91	40.0	46.05	40.0	66.89	7.2197499999999994	24.73975	6.87075	60.129749999999994
1993-04-21	3.729	3.6	9.9	11.2	18.125	5.158	25.751	40.0	37.47	49.034	37.47	52.91	7.10725	22.2585	7.2197499999999994	47.10725
1993-04-22	3.2	1.4	8.6	12.6	18.725	5.041	22.34	37.47	30.47	46.106	30.47	40.0	6.449999999999999	20.894	7.10725	43.92
1993-04-23	4.2	0.5	14.0	12.9	15.5	4.588	16.79	30.47	36.89	36.878	36.89	37.47	7.9	16.837	6.449999999999999	38.37
1993-04-24	4.2	0.3	11.0	11.3	14.75	4.405	16.182	36.89	90.87	35.337	90.87	30.47	6.7	18.05675	7.9	43.59
1993-04-25	7.0	0.4	10.8	10.689	21.4	6.144	18.645	90.87	85.787	46.189	85.787	36.89	7.222250000000001	34.26475	6.7	98.09225
1993-04-26	9.622	0.4	11.4	10.489	26.746	9.776	24.283	85.787	73.96	60.805	73.96	90.87	7.97775	36.648	7.222250000000001	93.76475
1993-04-27	8.6	0.3	3.0	5.689	29.671	11.682	26.24	73.96	48.21	67.593	48.21	85.787	4.39725	35.38825	7.97775	78.35725
1993-04-28	7.6	0.1	2.8	3.489	30.096	12.573	25.975	48.21	37.13	68.643	37.13	73.96	3.49725	29.213500000000003	4.39725	51.70725
1993-04-29	4.6	0.0	1.8	1.6	22.921	11.223	22.127	37.13	31.33	56.271	31.33	48.21	2.0	23.350250000000003	3.49725	39.13
1993-04-30	2.178	0.0	0.0	1.0	17.1	7.826	15.58	31.33	29.42	40.506	29.42	37.13	0.7945	17.959	2.0	32.1245
1993-05-01	1.2	0.0	0.0	2.0	13.8	6.081	13.202	29.42	25.83	33.082	25.83	31.33	0.8	15.62575	0.7945	30.220000000000002
1993-05-02	0.8	1.2	2.2	2.5	12.025	5.211	11.548	25.83	22.82	28.784	22.82	29.42	1.675	13.6535	0.8	27.505
1993-05-03	0.4	1.2	2.2	2.5	10.808	4.57	10.598	22.82	21.51	25.976	21.51	25.83	1.5750000000000002	12.199	1.675	24.395
1993-05-04	0.2	1.2	2.2	1.5	9.908	4.136	10.033	21.51	19.93	24.076	19.93	22.82	1.275	11.39675	1.5750000000000002	22.785
1993-05-05	0.2	1.2	2.2	0.5	9.188	3.794	8.835	19.93	19.06	21.817	19.06	21.51	1.025	10.43675	1.275	20.955
1993-05-06	0.2	0.0	0.0	0.0	8.648	3.491	8.271	19.06	18.14	20.409	18.14	19.93	0.05	9.8675	1.025	19.11
1993-05-07	0.2	0.0	0.0	0.0	8.225	3.314	7.744	18.14	17.15	19.284	17.15	19.06	0.05	9.35575	0.05	18.19
1993-05-08	0.2	0.0	0.0	0.0	7.87	3.171	7.252	17.15	16.21	18.292	16.21	18.14	0.05	8.86075	0.05	17.2
1993-05-09	0.0	0.0	0.0	0.0	7.582	3.071	6.876	16.21	21.44	17.529	21.44	17.15	0.0	8.434750000000001	0.05	16.21
1993-05-10	0.6	2.8	5.0	0.2	7.545	3.847	7.203	21.44	24.91	18.594	24.91	16.21	2.15	10.00875	0.0	23.59
1993-05-11	0.8	6.0	5.0	0.6	7.775	4.314	8.232	24.91	21.98	20.321	21.98	21.44	3.1	11.307749999999999	2.15	28.01
1993-05-12	0.8	6.0	5.0	0.6	8.03	4.517	8.747	21.98	19.51	21.294	19.51	24.91	3.1	10.8185	3.1	25.080000000000002
1993-05-13	0.8	6.0	5.832	0.63	8.225	4.643	9.723	19.51	25.694	22.591	25.694	21.98	3.3155	10.52525	3.1	22.8255
1993-05-14	2.6	3.2	3.648	0.533	8.793	4.907	10.899	25.694	41.156	24.599	41.156	19.51	2.49525	12.573249999999998	3.3155	28.189249999999998
1993-05-15	3.2	0.0	8.832	0.333	10.55	7.362	12.669	41.156	61.255	30.581	61.255	25.694	3.09125	17.93425	2.49525	44.24725
1993-05-16	3.4	1.7	16.0	0.63	14.169	11.109	16.392	61.255	81.354	41.669	81.354	41.156	5.4325	25.731250000000003	3.09125	66.6875
1993-05-17	3.8	5.1	23.168	0.97	19.697	14.572	21.039	81.354	96.816	55.307	96.816	61.255	8.2595	34.1655	5.4325	89.6135
1993-05-18	1.6	5.3	20.752	1.267	26.053	16.245	25.867	96.816	103.0	68.166	103.0	81.354	7.22975	41.24525	8.2595	104.04575
1993-05-19	1.0	5.3	15.568	1.067	31.581	15.329	29.869	103.0	67.18	76.779	67.18	96.816	5.73375	44.94475	7.22975	108.73375
1993-05-20	1.0	3.6	8.9	1.07	32.237	12.905	31.327	67.18	92.33	76.47	92.33	103.0	3.6425	35.91225	5.73375	70.8225
1993-05-21	0.8	0.2	1.9	1.3	35.247	11.843	35.113	92.33	74.03	82.203	74.03	67.18	1.05	43.633250000000004	3.6425	93.38
1993-05-22	0.6	0.0	1.5	0.9	33.225	10.626	33.543	74.03	51.53	77.394	51.53	92.33	0.75	37.856	1.05	74.78
1993-05-23	0.4	0.0	1.5	0.9	28.675	9.498	29.928	51.53	41.04	68.101	41.04	74.03	0.7	29.90775	0.75	52.230000000000004
1993-05-24	0.2	0.0	1.0	0.6	26.35	8.581	26.523	41.04	34.74	61.454	34.74	51.53	0.44999999999999996	25.6235	0.7	41.49
1993-05-25	0.0	0.0	0.0	0.0	19.35	6.488	18.947	34.74	31.28	44.785	31.28	41.04	0.0	19.88125	0.44999999999999996	34.74
1993-05-26	1.8	1.2	3.6	0.148	15.725	5.242	15.478	31.28	29.67	36.444	29.67	34.74	1.6869999999999998	16.93125	0.0	32.967
1993-05-27	2.4	1.4	6.2	0.748	13.95	4.614	13.582	29.67	29.22	32.146	29.22	31.28	2.687	15.454	1.6869999999999998	32.357
1993-05-28	3.0	1.4	12.4	4.748	12.95	4.224	12.684	29.22	27.6	29.857	27.6	29.67	5.3870000000000005	14.769499999999999	2.687	34.607
1993-05-29	4.4	1.8	19.6	7.548	12.3	4.004	12.238	27.6	28.03	28.542	28.03	29.22	8.337	14.0355	5.3870000000000005	35.937
1993-05-30	5.435	2.0	23.056	10.511	11.9	3.951	13.234	28.03	36.863	29.085	36.863	27.6	10.250499999999999	14.27875	8.337	38.2805
1993-05-31	8.635	1.8	27.057	13.6	14.213	5.324	18.732	36.863	52.515	38.269	52.515	28.03	12.773	18.783	10.250499999999999	49.635999999999996
1993-06-01	9.435	2.8	26.657	13.6	19.188	8.017	27.755	52.515	60.87	54.959	60.87	36.863	13.123	26.86875	12.773	65.638
1993-06-02	8.835	2.4	20.457	13.0	20.662	9.136	31.907	60.87	44.06	61.706	44.06	52.515	11.173	30.643749999999997	13.123	72.04299999999999
1993-06-03	6.0	1.4	13.401	9.889	21.438	9.593	33.102	44.06	35.14	64.133	35.14	60.87	7.6725	27.04825	11.173	51.7325
1993-06-04	2.4	1.4	7.0	6.4	19.125	8.382	28.548	35.14	28.75	56.055	28.75	44.06	4.300000000000001	22.79875	7.6725	39.44
1993-06-05	1.0	0.4	1.2	2.4	13.8	5.727	19.629	28.75	24.44	39.157	24.44	35.14	1.25	16.9765	4.300000000000001	30.0
1993-06-06	0.2	0.4	0.2	0.2	11.855	4.536	15.174	24.44	21.47	31.566	21.47	28.75	0.25	14.001249999999999	1.25	24.69
1993-06-07	0.2	0.0	0.2	0.4	10.41	3.857	12.207	21.47	19.92	26.474	19.92	24.44	0.2	11.986	0.25	21.669999999999998
1993-06-08	0.0	0.0	0.0	0.2	9.328	3.415	10.379	19.92	18.9	23.122	18.9	21.47	0.05	10.7605	0.2	19.970000000000002
1993-06-09	1.0	0.0	6.4	1.4	8.59	3.153	9.202	18.9	18.55	20.945	18.55	19.92	2.2	9.96125	0.05	21.099999999999998
1993-06-10	1.0	1.2	11.9	6.0	8.11	3.036	8.474	18.55	19.22	19.62	19.22	18.9	5.025	9.5425	2.2	23.575000000000003
1993-06-11	1.0	1.8	15.5	8.1	8.0	3.021	8.234	19.22	20.78	19.255	20.78	18.55	6.6	9.61875	5.025	25.82
1993-06-12	1.0	1.8	15.5	8.1	8.057	3.114	8.45	20.78	20.21	19.621	20.21	19.22	6.6	10.100249999999999	6.6	27.380000000000003
1993-06-13	0.0	1.8	9.1	6.9	8.1	3.166	8.676	20.21	21.15	19.942	21.15	20.78	4.45	10.038	6.6	24.66
1993-06-14	0.9	1.2	10.0	3.6	8.388	3.475	9.02	21.15	22.53	20.883	22.53	20.21	3.925	10.50825	4.45	25.075
1993-06-15	2.7	1.8	15.0	3.9	8.595	3.651	9.286	22.53	20.07	21.532	20.07	21.15	5.85	11.0155	3.925	28.380000000000003
1993-06-16	2.7	1.8	15.0	3.9	8.56	3.608	8.986	20.07	18.18	21.154	18.18	22.53	5.85	10.306000000000001	5.85	25.92
1993-06-17	3.9	3.4	21.6	8.1	8.442	3.558	8.721	18.18	18.48	20.721	18.48	20.07	9.25	9.725249999999999	5.85	27.43
1993-06-18	4.493	3.4	20.0	11.231	8.115	3.336	9.28	18.48	28.35	20.731	28.35	18.18	9.781	9.80275	9.25	28.261000000000003
1993-06-19	4.293	2.4	14.2	13.131	8.562	3.232	10.857	28.35	24.66	22.652	24.66	18.48	8.506	12.750250000000001	9.781	36.856
1993-06-20	4.293	2.4	14.2	13.131	8.652	3.146	11.902	24.66	19.59	23.7	19.59	28.35	8.506	12.09	8.506	33.166
1993-06-21	3.093	0.8	7.6	8.931	8.598	3.068	12.262	19.59	16.59	23.928	16.59	24.66	5.106	10.8795	8.506	24.695999999999998
1993-06-22	1.6	0.8	2.8	4.5	8.378	2.858	11.33	16.59	16.35	22.565	16.35	19.59	2.425	9.789000000000001	5.106	19.015
1993-06-23	0.2	2.0	0.0	0.2	7.308	2.762	9.29	16.35	15.8	19.359	15.8	16.59	0.6000000000000001	8.9275	2.425	16.950000000000003
1993-06-24	0.4	2.0	0.0	0.2	6.748	2.73	7.873	15.8	14.38	17.35	14.38	16.35	0.65	8.287749999999999	0.6000000000000001	16.45
1993-06-25	1.6	2.0	1.4	3.0	6.475	2.686	7.136	14.38	14.31	16.297	14.31	15.8	2.0	7.66925	0.65	16.380000000000003
1993-06-26	1.6	1.4	8.6	5.2	6.41	2.695	6.703	14.31	13.53	15.808	13.53	14.38	4.2	7.5295000000000005	2.0	18.51
1993-06-27	1.4	0.0	8.6	5.0	6.23	2.546	6.153	13.53	12.83	14.929	12.83	14.31	3.75	7.114749999999999	4.2	17.28
1993-06-28	1.2	0.0	8.6	5.0	6.035	2.447	5.749	12.83	12.16	14.23	12.16	13.53	3.6999999999999997	6.76525	3.75	16.53
1993-06-29	0.0	0.0	7.2	2.2	5.8	2.396	5.379	12.16	11.7	13.575	11.7	12.83	2.35	6.43375	3.6999999999999997	14.51
